,Name,val
0,Gayang,0.06243760070779909
1,GoDeokcheon Stream,0.01359252232427392
2,Noryangjin,0.0638371565037302
3,Dorimcheon Stream,0.15765360643740467
4,Mokgamcheon Stream,0.09486600145765449
5,Seongnaecheon Stream,0.13001546494427182
6,Seongbukcheon Stream,0.17167765520456663
7,Ahnyangcheon Stream 4,0.0841882955713621
8,Ahnyangcheon Stream 5,0.13505709913567363
9,Amsa,0.07220058881802713
10,Yangjaecheon Stream,0.12690377513296913
11,Uicheon Stream,0.21661093898100686
12,Jeongneungcheon Stream,0.20425451073676312
13,Jungnangcheon Stream 1A,4.9639941814791346e-17
14,Jungnangcheon Stream 2,0.21930694640803325
15,Jungnangcheon Stream 3,0.16914211371972132
16,Jungnangcheon Stream 4,0.17033151996974216
17,Cheonggyecheon Stream 1,0.1821165467136015
18,Cheonggyecheon Stream 2,0.17473565172375144
19,Cheonggyecheon Stream 3,0.17879865069951628
20,Tancheon Stream 5,0.10471426393021631
21,Hongjecheon Stream,0.14212085067425329
22,Guui,0.08161185023956383
23,Ttukdo,0.05803921929181035
24,Bogwang,0.08585642888000297
25,Yeongdeungpo,0.09191653698415166
26,Jamsil,0.06789467400430937
27,Mangwolcheon Stream,0.007761405583840146
