,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.5485920525489015,0.021818700341458518,0.584728162686843,0.08902761257997639,0.5800290115870608,0.04720421726321104,0.02543657562968514,-0.028926160257805082,0.11472082877318154,0.11618739953449735
NO3-N(㎎/L),-0.5485920525489015,1.0,-0.13528513429319153,-0.17343722697060845,-0.29679698214046796,-0.13917858284113024,-0.22523783477547094,-0.22587047850377778,0.3734103946044728,-0.06372296667989066,0.16446260327951814
PO4-P(㎎/L),0.021818700341458518,-0.13528513429319153,1.0,0.04106395979346872,0.8096994133318947,0.01566793032969141,0.8319786527037534,0.20918228653316714,-0.2502420636356219,-0.10560286825557214,-0.07474637860253529
T-N(㎎/L),0.584728162686843,-0.17343722697060845,0.04106395979346872,1.0,0.21039600861178845,0.9810137755455205,0.14048170114478323,0.1315213522937728,0.27093273682747715,-0.09159668501741626,0.2930365561138676
T-P(㎎/L),0.08902761257997639,-0.29679698214046796,0.8096994133318947,0.21039600861178845,1.0,0.18006119964881825,0.9667688408974142,0.31412808405247683,-0.16594046841337218,-0.15385555714711965,-0.009915981869620965
Dissolved Total N(㎎/L),0.5800290115870608,-0.13917858284113024,0.01566793032969141,0.9810137755455205,0.18006119964881825,1.0,0.12116258616822259,0.1137614957478353,0.2566024597829202,-0.0907410512664662,0.27590273978329855
Dissolved Total P(㎎/L),0.04720421726321104,-0.22523783477547094,0.8319786527037534,0.14048170114478323,0.9667688408974142,0.12116258616822259,1.0,0.31562105085355363,-0.1852787175788808,-0.1479982696205849,-0.045644383796778834
Hydrogen ion conc.,0.02543657562968514,-0.22587047850377778,0.20918228653316714,0.1315213522937728,0.31412808405247683,0.1137614957478353,0.31562105085355363,1.0,-0.0015955703766279566,-0.03752598938902414,-0.19487412036979
DO (㎎/L),-0.028926160257805082,0.3734103946044728,-0.2502420636356219,0.27093273682747715,-0.16594046841337218,0.2566024597829202,-0.1852787175788808,-0.0015955703766279566,1.0,-0.3116883365198664,0.3337047146595362
TSI(Chl-a),0.11472082877318154,-0.06372296667989066,-0.10560286825557214,-0.09159668501741626,-0.15385555714711965,-0.0907410512664662,-0.1479982696205849,-0.03752598938902414,-0.3116883365198664,1.0,-0.06009102791022418
Predict,0.11618739953449735,0.16446260327951814,-0.07474637860253529,0.2930365561138676,-0.009915981869620965,0.27590273978329855,-0.045644383796778834,-0.19487412036979,0.3337047146595362,-0.06009102791022418,1.0
