,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.31571222047874575,0.08493060589190876,0.13028948138968396,0.20536474500262134,0.14615979839365442,0.2060356827241189,-0.01909944678012651,0.07177989226215695,-0.02453599009175312,-0.02784683604669249
NO3-N(㎎/L),-0.31571222047874575,1.0,-0.15121816493059298,0.438801278217817,-0.1806512457407585,0.44244100324766306,-0.21949244322828937,-0.21249468087246984,0.41698364440174085,-0.1249164744336572,0.10899909257980439
PO4-P(㎎/L),0.08493060589190876,-0.15121816493059298,1.0,0.11764606421717726,0.3396475769347393,0.08193867953054522,0.3887352690242011,0.04342158410087895,-0.2002218738271041,0.09137803986715032,-0.002981989093104647
T-N(㎎/L),0.13028948138968396,0.438801278217817,0.11764606421717726,1.0,0.2903471851565326,0.9825242444917626,0.301155634689151,-0.07726394874586995,0.3167050400271486,0.01963814379217128,0.08922299881665757
T-P(㎎/L),0.20536474500262134,-0.1806512457407585,0.3396475769347393,0.2903471851565326,1.0,0.26135743637226516,0.9405368904207289,0.08737296118542145,-0.06498393228294409,0.16764368784944988,0.0573499356643178
Dissolved Total N(㎎/L),0.14615979839365442,0.44244100324766306,0.08193867953054522,0.9825242444917626,0.26135743637226516,1.0,0.26758753006517144,-0.04311684024875145,0.3438825607127447,-0.010242231817068822,0.09947099625154217
Dissolved Total P(㎎/L),0.2060356827241189,-0.21949244322828937,0.3887352690242011,0.301155634689151,0.9405368904207289,0.26758753006517144,1.0,0.054949291374963724,-0.11711936834056969,0.11715149020331803,0.036726429064535875
Hydrogen ion conc.,-0.01909944678012651,-0.21249468087246984,0.04342158410087895,-0.07726394874586995,0.08737296118542145,-0.04311684024875145,0.054949291374963724,1.0,-0.17403690068973382,0.040514376270550254,-0.11794501034484012
DO (㎎/L),0.07177989226215695,0.41698364440174085,-0.2002218738271041,0.3167050400271486,-0.06498393228294409,0.3438825607127447,-0.11711936834056969,-0.17403690068973382,1.0,0.0771584547329243,0.10241496613362329
TSI(Chl-a),-0.02453599009175312,-0.1249164744336572,0.09137803986715032,0.01963814379217128,0.16764368784944988,-0.010242231817068822,0.11715149020331803,0.040514376270550254,0.0771584547329243,1.0,0.20928358967950825
Predict,-0.02784683604669249,0.10899909257980439,-0.002981989093104647,0.08922299881665757,0.0573499356643178,0.09947099625154217,0.036726429064535875,-0.11794501034484012,0.10241496613362329,0.20928358967950825,1.0
