,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.3781759263158025,-0.026230941675655085,0.12699448260946056,-0.02343556715452217,0.15296275185925257,-0.012982257462456626,0.03433873179192035,0.14686854199445454,0.04133156504325742,-0.03753158037706293
NO3-N(㎎/L),-0.3781759263158025,1.0,0.23066794866476034,0.41297109195432524,0.007551805638701665,0.4403870073405292,-0.012562869766930242,-0.07221880361784928,0.444317652857764,-0.02420009891013497,-0.06706132277250534
PO4-P(㎎/L),-0.026230941675655085,0.23066794866476034,1.0,0.17545897787050999,0.32321220758458247,0.1968962269695985,0.3759805978021617,0.15964846949887226,0.42104540538762514,0.12830604492871694,0.0706318520106561
T-N(㎎/L),0.12699448260946056,0.41297109195432524,0.17545897787050999,1.0,0.03135954076022199,0.9913841609411578,0.0037924749298242724,0.12488403206024574,0.2623480429242501,0.0538596675735577,0.008078658306159829
T-P(㎎/L),-0.02343556715452217,0.007551805638701665,0.32321220758458247,0.03135954076022199,1.0,0.06256681306923592,0.9750296545168131,0.20589046622838295,0.1176847899936944,0.18384974224164144,0.07465556038391843
Dissolved Total N(㎎/L),0.15296275185925257,0.4403870073405292,0.1968962269695985,0.9913841609411578,0.06256681306923592,1.0,0.0312186016786768,0.14169730984840764,0.29551483644867177,0.03675991004621682,0.016219035454556375
Dissolved Total P(㎎/L),-0.012982257462456626,-0.012562869766930242,0.3759805978021617,0.0037924749298242724,0.9750296545168131,0.0312186016786768,1.0,0.19856468907072503,0.12769817927271748,0.21586758930474448,0.0876943060603532
Hydrogen ion conc.,0.03433873179192035,-0.07221880361784928,0.15964846949887226,0.12488403206024574,0.20589046622838295,0.14169730984840764,0.19856468907072503,1.0,-0.08967180022684001,0.09313991839205772,0.0404518956046945
DO (㎎/L),0.14686854199445454,0.444317652857764,0.42104540538762514,0.2623480429242501,0.1176847899936944,0.29551483644867177,0.12769817927271748,-0.08967180022684001,1.0,0.20941520096741661,-0.19092326301591833
TSI(Chl-a),0.04133156504325742,-0.02420009891013497,0.12830604492871694,0.0538596675735577,0.18384974224164144,0.03675991004621682,0.21586758930474448,0.09313991839205772,0.20941520096741661,1.0,0.14969661868920958
Predict,-0.03753158037706293,-0.06706132277250534,0.0706318520106561,0.008078658306159829,0.07465556038391843,0.016219035454556375,0.0876943060603532,0.0404518956046945,-0.19092326301591833,0.14969661868920958,1.0
