,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.28739442103655816,-0.12445503201909833,0.7553335884903275,-0.0025223741020731208,0.7514762617427371,-0.07881859875754947,-0.20044104615829775,0.5392795550659679,0.019696870470253362,0.3368877362481438
NO3-N(㎎/L),-0.28739442103655816,1.0,0.07601993761299446,0.015342858619378853,-0.02215335630045274,0.05788997698236866,0.06681404475371178,0.18538097285639724,0.17424614251827567,-0.08726177107260123,0.13708017613577192
PO4-P(㎎/L),-0.12445503201909833,0.07601993761299446,1.0,-0.11048338277087182,0.8974458705703903,-0.08835938242582692,0.9279115888032994,-0.10656439336592599,0.09405901710910987,0.0256115678705871,-0.03120650192441507
T-N(㎎/L),0.7553335884903275,0.015342858619378853,-0.11048338277087182,1.0,0.027850654062760306,0.992699141157056,-0.019135338296673823,-0.17548601320323015,0.48847948728831814,0.04751357904434269,0.39215753827337
T-P(㎎/L),-0.0025223741020731208,-0.02215335630045274,0.8974458705703903,0.027850654062760306,1.0,0.03702412026531394,0.9687969426232158,-0.00652725665360182,0.09233995910025881,0.14395582803383544,-0.04234465325039646
Dissolved Total N(㎎/L),0.7514762617427371,0.05788997698236866,-0.08835938242582692,0.992699141157056,0.03702412026531394,1.0,-0.0032640439739264537,-0.16063485499767965,0.5128454874476465,0.04939312794334867,0.3810604340907267
Dissolved Total P(㎎/L),-0.07881859875754947,0.06681404475371178,0.9279115888032994,-0.019135338296673823,0.9687969426232158,-0.0032640439739264537,1.0,0.018954099704707832,0.14712663625936612,0.05393945695940971,-0.07345749554782689
Hydrogen ion conc.,-0.20044104615829775,0.18538097285639724,-0.10656439336592599,-0.17548601320323015,-0.00652725665360182,-0.16063485499767965,0.018954099704707832,1.0,-0.09131870940645898,0.04621479045090592,-0.20077006242609202
DO (㎎/L),0.5392795550659679,0.17424614251827567,0.09405901710910987,0.48847948728831814,0.09233995910025881,0.5128454874476465,0.14712663625936612,-0.09131870940645898,1.0,-0.1743513639743852,0.2760288833375486
TSI(Chl-a),0.019696870470253362,-0.08726177107260123,0.0256115678705871,0.04751357904434269,0.14395582803383544,0.04939312794334867,0.05393945695940971,0.04621479045090592,-0.1743513639743852,1.0,-0.2737112288414774
Predict,0.3368877362481438,0.13708017613577192,-0.03120650192441507,0.39215753827337,-0.04234465325039646,0.3810604340907267,-0.07345749554782689,-0.20077006242609202,0.2760288833375486,-0.2737112288414774,1.0
