,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.35376645060768164,0.025040727465490444,0.6049646941340725,0.21489854637242842,0.5925303680855698,0.13284184212624733,0.020533148924594062,0.05196256508992873,-0.22038545715937713,-0.04735675328001269
NO3-N(㎎/L),-0.35376645060768164,1.0,0.03389583948956644,0.3029854822503046,-0.13991823384194574,0.3247556773753121,-0.10696746009640148,-0.16764448696261777,0.36174293249423245,0.11896823338538755,0.2512298986671123
PO4-P(㎎/L),0.025040727465490444,0.03389583948956644,1.0,0.08212781787833777,0.8232299007190281,0.08516800314651182,0.8542801091454014,0.18976252644086658,-0.09679385101511241,-0.24774069224363368,-0.1636303722652559
T-N(㎎/L),0.6049646941340725,0.3029854822503046,0.08212781787833777,1.0,0.2620835883901934,0.9911157618713469,0.1703005505921544,-0.05511749323989436,0.30464457418313595,-0.07953062957806802,0.10505541664202503
T-P(㎎/L),0.21489854637242842,-0.13991823384194574,0.8232299007190281,0.2620835883901934,1.0,0.2517307289793241,0.976444460736234,0.24818511281605973,-0.11671321002767283,-0.18859058060357256,-0.2167873405424618
Dissolved Total N(㎎/L),0.5925303680855698,0.3247556773753121,0.08516800314651182,0.9911157618713469,0.2517307289793241,1.0,0.16185134374363264,-0.034655077684328475,0.3337960778018772,-0.07875143998002158,0.10022764931629487
Dissolved Total P(㎎/L),0.13284184212624733,-0.10696746009640148,0.8542801091454014,0.1703005505921544,0.976444460736234,0.16185134374363264,1.0,0.2293437812609197,-0.09186437085556447,-0.16473372748665263,-0.2003965340267473
Hydrogen ion conc.,0.020533148924594062,-0.16764448696261777,0.18976252644086658,-0.05511749323989436,0.24818511281605973,-0.034655077684328475,0.2293437812609197,1.0,0.1944825982934846,-0.02563736794968631,-0.2614247418852163
DO (㎎/L),0.05196256508992873,0.36174293249423245,-0.09679385101511241,0.30464457418313595,-0.11671321002767283,0.3337960778018772,-0.09186437085556447,0.1944825982934846,1.0,0.06557244442586191,0.07936154269898661
TSI(Chl-a),-0.22038545715937713,0.11896823338538755,-0.24774069224363368,-0.07953062957806802,-0.18859058060357256,-0.07875143998002158,-0.16473372748665263,-0.02563736794968631,0.06557244442586191,1.0,0.08508634739371364
Predict,-0.04735675328001269,0.2512298986671123,-0.1636303722652559,0.10505541664202503,-0.2167873405424618,0.10022764931629487,-0.2003965340267473,-0.2614247418852163,0.07936154269898661,0.08508634739371364,1.0
